Arena Score,Total
0,24275
1,30
2,2
3,9
4,5
5,2
6,10
7,4
8,3
9,6
10,56
11,52
12,31
13,11
14,12
15,9
16,16
17,17
18,2
19,4
20,42
21,15
22,18
23,56
24,50
25,31
26,49
27,36
28,10
29,21
30,116
31,42
32,28
33,10
34,12
35,12
36,6
37,8
38,7
39,5
40,51
41,32
42,21
43,29
44,9
45,15
46,10
47,5
48,4
49,5
50,50
51,58
52,16
53,14
54,12
55,11
56,13
57,7
58,13
59,3
60,46
61,31
62,10
63,8
64,10
65,5
66,3
68,3
69,9
70,27
71,20
72,4
73,2
75,4
76,4
77,6
78,7
79,1
80,6
81,2
82,2
83,1
84,12
85,3
86,2
87,1
88,11
89,1
90,5
91,7
92,4
93,7
95,3
97,3
98,1
99,3
100,34
101,22
102,27
103,8
104,9
105,3
106,5
107,2
108,1
109,3
110,26
111,39
112,4
113,6
114,7
115,7
116,1
117,6
118,2
119,2
120,17
121,7
122,9
123,3
124,9
125,8
127,4
128,4
129,7
130,6
131,6
132,3
133,4
134,13
135,3
136,4
137,5
138,1
139,2
140,12
141,4
142,7
143,3
144,1
145,1
146,1
147,1
148,1
150,6
151,8
152,8
153,8
154,5
155,4
156,5
160,2
161,1
162,1
164,2
165,3
166,1
169,1
170,4
171,4
172,2
173,1
174,1
175,2
176,2
179,2
180,3
181,2
182,6
183,1
184,3
185,1
187,4
188,3
189,2
190,1
191,5
192,2
193,3
194,3
195,1
197,2
198,12
200,16
201,15
202,10
203,3
204,5
205,2
206,3
208,2
209,9
210,7
211,5
212,4
213,7
214,9
215,8
216,4
217,3
218,5
219,4
220,13
221,10
222,8
223,6
224,6
225,3
226,4
227,3
228,3
230,5
231,7
232,3
233,4
234,3
235,7
236,1
237,4
238,3
239,1
240,2
241,13
242,6
244,2
245,7
246,6
247,1
248,1
249,3
250,6
251,5
252,10
253,9
254,2
255,9
256,5
257,1
258,4
259,1
260,2
261,3
262,3
263,5
264,7
266,7
267,6
268,2
269,2
270,6
271,6
272,12
276,1
277,1
279,1
280,6
281,1
282,6
283,6
284,1
285,1
289,1
290,2
292,1
293,5
294,2
296,3
297,1
298,4
299,8
300,9
301,8
302,3
303,4
304,5
305,7
306,4
307,1
308,3
309,8
310,4
311,5
312,6
313,3
314,2
315,1
316,2
317,3
318,2
319,6
320,2
321,4
322,3
323,1
324,1
325,1
327,2
328,1
330,3
331,2
332,3
334,1
335,1
336,3
337,6
338,8
339,2
340,2
341,3
342,13
343,14
344,1
347,1
348,2
349,2
350,8
352,1
353,2
354,1
355,4
357,2
358,9
360,1
361,5
362,3
363,2
364,2
365,2
366,2
368,11
369,3
370,4
371,3
372,3
373,1
375,3
376,3
377,3
378,2
379,1
380,1
381,6
382,12
383,2
384,2
385,2
386,3
387,2
388,1
